Date,Site,sample_type,filter_ID,filter_weight_corrected_g,dry_weight_corrected_g,ash_weight_corrected_g,sample_volume_ml
7/17/18,San Rafael,TSS,C0434976,0.1048,0.1262,0.1239,280
7/17/18,San Rafael,TSS,C0434977,0.1063,0.1246,0.1225,210
7/17/18,San Rafael,TSS,C0434975,0.1042,0.122,0.1197,265
7/18/18,San Rafael,TSS,C0434970,0.1049,0.1244,0.1201,510
7/18/18,San Rafael,TSS,C0434969,0.1048,0.1243,0.1199,460
7/18/18,San Rafael,TSS,C0434968,0.105,0.1217,0.1189,475
7/27/18,Morro Bay,TSS,D0261808,0.1078,0.124,0.1199,1000
7/27/18,Morro Bay,TSS,D0261807,0.1056,0.1253,0.1203,1000
7/27/18,Morro Bay,TSS,D0261806,0.1079,0.1246,0.1199,1000
7/28/18,Morro Bay,TSS,D0261804,0.1062,0.1208,0.1163,1000
7/28/18,Morro Bay,TSS,D0261803,0.107,0.122,0.1167,1000
7/28/18,Morro Bay,TSS,D0261801,0.1073,0.1215,0.1167,1000
9/10/18,San Rafael,TSS,D0261797,0.1065,0.1198,0.1182,305
9/10/18,San Rafael,TSS,D0261796,0.1065,0.1182,0.1171,370
9/10/18,San Rafael,TSS,D0261794,0.1072,0.1187,0.1178,345
10/26/18,Deanza,TSS,D0261793,0.1073,0.1117,0.1099,930
10/26/18,Deanza,TSS,D0261792,0.1074,0.112,0.1102,875
10/26/18,Deanza,TSS,D0261791,0.1066,0.1095,0.1087,910
11/7/18,San Rafael,TSS,D0261786,0.1069,0.1153,0.1142,330
11/7/18,San Rafael,TSS,D0261785,0.1067,0.1181,0.1167,430
11/7/18,San Rafael,TSS,D0261832,0.106,0.1263,0.1208,532
11/8/18,San Rafael,TSS,D0261789,0.1064,0.1178,0.1161,390
11/8/18,San Rafael,TSS,D0261788,0.1077,0.1209,0.1193,370
4/15/19,Deanza,TSS,D0261766,0.1067,0.1105,0.1093,1000
4/15/19,Deanza,TSS,D0261765,0.107,0.1122,0.1105,1000
4/15/19,Deanza,TSS,D0261763,0.1055,0.1107,0.109,1000
4/17/19,Deanza,TSS,D0261762,0.1078,0.1109,0.1104,1000
4/17/19,Deanza,TSS,D0261760,0.1061,0.1114,0.1097,1000
4/17/19,Deanza,TSS,D0261759,0.1064,0.1101,0.1093,1000
4/18/19,Deanza,TSS,D0261831,0.1052,0.1126,0.11,1000
4/18/19,Deanza,TSS,D0261830,0.1043,0.1094,0.1077,1000
4/18/19,Deanza,TSS,D0261829,0.1075,0.1138,0.1116,1000
5/9/19,Deanza,TSS,D0261815,0.1047,0.1127,0.111,3000
5/10/19,Deanza,TSS,D0261817,0.1053,0.1155,0.1139,2000
5/10/19,Shellmaker,TSS,D0261814,0.1066,0.1197,0.1165,2220
5/11/19,Shellmaker,TSS,D0261812,0.1058,0.1172,0.1143,2220
5/11/19,Deanza,TSS,D0261811,0.1065,0.1145,0.1126,2000
5/19/19,Morro Bay,TSS,D0261810,0.1071,0.1181,0.1161,758
5/19/19,Morro Bay,TSS,D0261809,0.1053,0.1163,0.1144,764
5/21/19,Deanza,TSS,B0503514,0.1075,0.1182,0.1157,3000
5/22/19,Shellmaker,TSS,B0503512,0.1072,0.1204,0.1178,2685
5/22/19,Deanza,TSS,B0503511,0.1061,0.1176,0.115,3000
6/3/19,Morro Bay,TSS,B0503510,0.1074,0.119,0.1164,1000
6/4/19,Morro Bay,TSS,B0503508,0.1062,0.1196,0.1174,1000
6/5/19,Morro Bay,TSS,B0503507,0.1062,0.1171,0.1152,1000
6/6/19,Morro Bay,TSS,B0503506,0.1071,0.1199,0.1171,1000
6/8/19,Deanza,TSS,B0503505,0.1056,0.1129,0.1109,2000
6/8/19,Shellmaker,TSS,B0503504,0.1062,0.1141,0.1125,2000
6/9/19,Shellmaker,TSS,B0503502,0.1073,0.1162,0.1146,2215
6/9/19,Deanza,TSS,B0503503,0.1065,0.1121,0.1109,2000