Site,Treatment,Quadrat,Date,O. lurida,C. gigas,Mytilus,Musculista,Geukensia,Adula,C. spinosum,Speckled_scallop,Sponge,Solitary Tunicates,Colonial Tunicates,Bryozoans,Ostrea lurida (m2)
Shellmaker,Oyster,Q1,5/20/18,15,0,0,29,0,38,0,0,Y,Y,N,Y,240
Shellmaker,Oyster,Q2,5/20/18,4,0,1,25,1,20,0,1,N,Y,N,Y,64
Shellmaker,Oyster,Q3,5/20/18,10,0,1,27,3,21,0,0,Y,Y,N,Y,160
Shellmaker,Oyster,Q4,5/20/18,28,0,9,41,0,68,0,0,Y,Y,Y,Y,448
Shellmaker,Oyster,Q5,5/20/18,15,0,6,35,0,57,0,0,Y,Y,N,Y,240
Shellmaker,Oyster,Q6,5/20/18,5,0,3,29,0,26,0,0,Y,Y,N,Y,80
Shellmaker,Oyster,Q7,5/20/18,6,0,1,12,0,23,0,0,N,Y,N,Y,96
Shellmaker,Oyster,Q8,5/20/18,34,0,4,33,0,49,0,0,Y,Y,N,Y,544
Shellmaker,Oyster,Q9,5/20/18,17,0,7,32,1,32,0,0,Y,Y,N,Y,272
Shellmaker,Oyster,Q10,5/20/18,15,0,0,11,0,7,0,0,Y,Y,N,Y,240
Deanza,Oyster,Q1,5/17/18,18,0,2,16,0,2,1,0,Y,Y,N,Y,288
Deanza,Oyster,Q2,5/17/18,19,0,5,45,0,12,17,0,N,Y,N,Y,304
Deanza,Oyster,Q3,5/17/18,5,0,3,21,0,13,6,0,N,Y,Y,Y,80
Deanza,Oyster,Q4,5/17/18,13,0,1,186,0,15,8,0,N,Y,N,Y,208
Deanza,Oyster,Q5,5/17/18,14,0,5,141,0,26,23,0,N,N,N,Y,224
Deanza,Oyster,Q6,5/17/18,19,0,9,116,0,13,24,0,N,Y,N,Y,304
Deanza,Oyster,Q7,5/17/18,18,0,5,78,0,15,9,0,N,Y,N,Y,288
Deanza,Oyster,Q8,5/17/18,11,0,3,89,0,3,19,0,N,Y,N,Y,176
Deanza,Oyster,Q9,5/17/18,10,0,13,444,0,68,4,0,N,Y,N,Y,160
Deanza,Oyster,Q10,5/17/18,19,0,4,101,0,18,25,0,N,N,N,Y,304